table      variable             dimensions                                    long_name                                                                                                           unit                 comment 

3hr        clt                  longitude latitude time                       Total Cloud Cover Percentage                                                                                        %                    ifs code name = 164.128 
3hr        hfls                 longitude latitude time                       Surface Upward Latent Heat Flux                                                                                     W m-2                ifs code name = 147.128 
3hr        hfss                 longitude latitude time                       Surface Upward Sensible Heat Flux                                                                                   W m-2                ifs code name = 146.128 
3hr        huss                 longitude latitude time1 height2m             Near-Surface Specific Humidity                                                                                      1                    ifs code name = 81.129, expression = 1./(1.+1.608*(var134*exp(-17.62*(var168-273.15)/(var168-30.03))/611.-1.)) 
3hr        mrro                 longitude latitude time                       Total Runoff                                                                                                        kg m-2 s-1           lpjg code name = mrro|ifs code name = 205.128 
3hr        mrsos                longitude latitude time1 sdepth1              Moisture in Upper Portion of Soil Column                                                                            kg m-2               lpjg code name = mrsos|ifs code name = 99.129, expression = 70*var39+30*var40 
3hr        pr                   longitude latitude time                       Precipitation                                                                                                       kg m-2 s-1           ifs code name = 228.128 
3hr        prc                  longitude latitude time                       Convective Precipitation                                                                                            kg m-2 s-1           ifs code name = 143.128 
3hr        prsn                 longitude latitude time                       Snowfall Flux                                                                                                       kg m-2 s-1           ifs code name = 144.128 
3hr        ps                   longitude latitude time1                      Surface Air Pressure                                                                                                Pa                   tm5 code name = ps|ifs code name = 134.128 
3hr        rlds                 longitude latitude time                       Surface Downwelling Longwave Radiation                                                                              W m-2                ifs code name = 175.128 
3hr        rldscs               longitude latitude time                       Surface Downwelling Clear-Sky Longwave Radiation                                                                    W m-2                ifs code name = 104.129, expression = var211-var177+var175 
3hr        rlus                 longitude latitude time                       Surface Upwelling Longwave Radiation                                                                                W m-2                ifs code name = 96.129, expression = var177-var175 
3hr        rsds                 longitude latitude time                       Surface Downwelling Shortwave Radiation                                                                             W m-2                ifs code name = 169.128 
3hr        rsdscs               longitude latitude time                       Surface Downwelling Clear-Sky Shortwave Radiation                                                                   W m-2                ifs code name = 132.129, expression = (var176<=1e-10)*var210+(var176>1e-10)*var210*var169/var176 
3hr        rsus                 longitude latitude time                       Surface Upwelling Shortwave Radiation                                                                               W m-2                ifs code name = 95.129, expression = var176-var169 
3hr        rsuscs               longitude latitude time                       Surface Upwelling Clear-Sky Shortwave Radiation                                                                     W m-2                ifs code name = 131.129, expression = (var176>1e-10)*var210*(1-var169/var176) 
